Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2014,Texas-Mexico Trade,Edible Fruit and Nuts,Other,06 - 15  Vegetable Products,Export,111466,0,0
2016,Texas-Mexico Trade,Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Export,198047903,0,0
2024,Texas-Mexico Trade,Rubber and Articles,Air,39 - 40  Plastics / Rubbers,Export,3075725,129.112,284643.4654
2014,Texas-Mexico Trade,Umbrellas and Walking Sticks,Truck,64 - 67  Footwear / Headgear,Export,2055100,0,0
2024,Texas-Mexico Trade,Special Woven Fabrics,Truck,50 - 63  Textiles,Export,161054128,0,0
2015,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,25 - 27  Mineral Products,Import,44197930,383097.802,844586769.6
2015,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Vessel,50 - 63  Textiles,Export,2255953,207.924,458394.3274
2020,Texas-Mexico Trade,Vegetable Plaiting Materials,Other,06 - 15  Vegetable Products,Export,4414,0,0
2022,Texas-Mexico Trade,Impregnated Fabrics,Rail,50 - 63  Textiles,Export,465172,0,0
2018,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Import,1788886082,125871.74,277499911.8
2023,Texas-Mexico Trade,Ceramic Products,Air,68 - 71  Stone / Glass,Export,8869013,10.882,23990.7223
2017,Texas-Mexico Trade,Paper and Paperboard,Vessel,44 - 49  Wood & Wood Products,Import,147794,235.288,518721.6705
2017,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,28 - 38  Chemicals & Allied Industries,Import,60382428,13704.599,30213493.62
2023,Texas-Mexico Trade,Other Made up Textile Articles,Air,50 - 63  Textiles,Export,201813,5.428,11966.7008
2020,Texas-Mexico Trade,Aluminum and Articles,Truck,72 - 83  Metals,Import,866028939,281317.659,620199780.9
2013,Texas-Mexico Trade,Meat and Edible Offal,Rail,01 - 05  Animal & Animal Products,Export,945286,0,0
2019,Texas-Mexico Trade,Raw Hides and Skins,Other,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,47773,0,0
2020,Texas-Mexico Trade,Iron and Steel,Rail,72 - 83  Metals,Import,557988436,1044858.872,2303521385
2020,Texas-Mexico Trade,Miscellaneous Edible Preparations,Air,16 - 24  Foodstuffs,Import,3359,0.05,110.2312
2013,Texas-Mexico Trade,Articles of Iron and Steel,Other,72 - 83  Metals,Export,6468555,0,0
