State,StateCode,Year,TradeType,Mode,TradeValue
Wisconsin,WI,2022,Export,Air,93729753
Alabama,AL,2019,Import,Truck,2714098924
New Jersey,NJ,2023,Export,Air,204243180
Iowa,IA,2023,Import,Truck,2703725542
New Jersey,NJ,2022,Export,Truck,2798192810
Oregon,OR,2020,Export,Other (including unknown),1207592
Ohio,OH,2020,Export,Rail,437040801
Wisconsin,WI,2021,Import,Truck,3004443942
South Carolina,SC,2021,Export,Air,26419239
North Carolina,NC,2020,Export,Rail,114991309
Massachusetts,MA,2015,Export,Truck,2393271762
Maryland,MD,2015,Export,Air,72299410
Florida,FL,2017,Import,Air,1022881471
Indiana,IN,2021,Export,Truck,3905689443
Nevada,NV,2016,Import,Truck,452400942
South Carolina,SC,2019,Export,Air,40670252
Illinois,IL,2017,Export,Vessel,68400882
Alabama,AL,2017,Import,Vessel,1273463993
Illinois,IL,2022,Export,Other (including unknown),20228410
Ohio,OH,2018,Export,Rail,670485156
Arkansas,AR,2015,Export,Truck,464238521
Texas,TX,2024,Import,Rail,4192448469
Alaska,AK,2015,Export,Truck,6530574
Delaware,DE,2018,Import,Truck,153315002
California,CA,2020,Import,Truck,41267822633
Vermont,VT,2022,Export,Truck,48864479
Arkansas,AR,2023,Export,Truck,805633208
Texas,TX,2018,Import,Vessel,12158790249
North Dakota,ND,2019,Export,Air,10132565
New Jersey,NJ,2015,Import,Truck,3112236799
North Carolina,NC,2020,Export,Truck,3041681385
Georgia,GA,2022,Export,Truck,4032332567
Massachusetts,MA,2022,Export,Truck,2599700759
Utah,UT,2021,Export,Truck,723050315
Arizona,AZ,2024,Import,Air,138933898
Arizona,AZ,2015,Export,Air,391161609
